,Primary_ISBN_10,Book_Title,Description,Author,Contributor,Publisher,Asterisk,Dagger,Amazon_URL,Review_Link,BestSeller_Date,Published_Date,Book_Category,BestSeller_Year,BestSeller_Week,Rank,Rank_Last_Week,Weeks_on_List
40954,374155011,FIND ME,"Years after the events of “Call Me by Your Name,” Elio has become a classically trained pianist in Paris while Oliver is a New England college professor with a family.",André Aciman,by André Aciman,"Farrar, Straus & Giroux",0,0,https://www.amazon.com/Find-Me-Novel-André-Aciman/dp/0374155011?tag=NYTBSREV-20,https://www.nytimes.com/2019/10/25/books/review/find-me-andre-aciman.html,11/2/19,11/17/19,Hardcover Fiction,2019,46,5,0,1
40955,62963678,THE DUTCH HOUSE,A sibling relationship is impacted when the family goes from poverty to wealth and back again over the course of many decades.,Ann Patchett,by Ann Patchett,Harper,0,0,https://www.amazon.com/Dutch-House-Novel-Ann-Patchett/dp/0062963678?tag=NYTBSREV-20,https://www.nytimes.com/2019/09/21/books/review-dutch-house-ann-patchett.html,11/2/19,11/17/19,Hardcover Fiction,2019,46,6,7,6
40956,399562486,THE GIVER OF STARS,"In Depression-era America, five women refuse to be cowed by men or convention as they deliver books throughout the mountains of Kentucky.",Jojo Moyes,by Jojo Moyes,Pamela Dorman/Viking,0,0,https://www.amazon.com/Giver-Stars-Novel-Jojo-Moyes/dp/0399562486?tag=NYTBSREV-20,,11/2/19,11/17/19,Hardcover Fiction,2019,46,7,15,4
40957,1982110562,THE INSTITUTE,Children with special talents are abducted and sequestered in an institution where the sinister staff seeks to extract their gifts through harsh methods.,Stephen King,by Stephen King,Scribner,0,0,https://www.amazon.com/Institute-Novel-Stephen-King/dp/1982110562?tag=NYTBSREV-20,https://www.nytimes.com/2019/09/08/books/review-institute-stephen-king.html,11/2/19,11/17/19,Hardcover Fiction,2019,46,8,9,8
40958,1984822136,THE LOST CAUSES OF BLEAK CREEK,Two high school freshmen dig into the dark underpinnings of their hometown and a local reform school in North Carolina.,Rhett McLaughlin and Link Neal with Lance Rubin,by Rhett McLaughlin and Link Neal with Lance Rubin,Crown,0,0,https://www.amazon.com/Lost-Causes-Bleak-Creek-Novel/dp/1984822136?tag=NYTBSREV-20,,11/2/19,11/17/19,Hardcover Fiction,2019,46,9,0,1
40959,316420271,THE 19TH CHRISTMAS,"In the 19th installment of the Women's Murder Club series, detective Lindsay Boxer and company take on a fearsome criminal known only as ""Loman.""",James Patterson and Maxine Paetro,by James Patterson and Maxine Paetro,"Little, Brown",0,0,https://www.amazon.com/19th-Christmas-Womens-Murder-Club-ebook/dp/B07P1SSF9S?tag=NYTBSREV-20,,11/2/19,11/17/19,Hardcover Fiction,2019,46,10,6,4
40960,399590595,THE WATER DANCER,A young man who was gifted with a mysterious power becomes part of a war between slavers and the enslaved.,Ta-Nehisi Coates,by Ta-Nehisi Coates,One World,0,0,https://www.amazon.com/Water-Dancer-Oprahs-Book-Club/dp/0399590595?tag=NYTBSREV-20,https://www.nytimes.com/2019/09/20/books/review-water-dancer-ta-nehisi-coates.html,11/2/19,11/17/19,Hardcover Fiction,2019,46,11,8,6
40961,1501101757,THE DESERTER,Two members of the Criminal Investigation Division must bring back a Delta Force soldier who disappeared.,Nelson DeMille and Alex DeMille,by Nelson DeMille and Alex DeMille,Simon & Schuster,0,0,https://www.amazon.com/Deserter-Novel-Nelson-DeMille/dp/1501101757?tag=NYTBSREV-20,,11/2/19,11/17/19,Hardcover Fiction,2019,46,12,4,2
40962,385543786,THE TESTAMENTS,"In a sequel to “The Handmaid’s Tale,” old secrets bring three women together as the Republic of Gilead’s theocratic regime shows signs of decay.",Margaret Atwood,by Margaret Atwood,Nan A. Talese/Doubleday,0,0,https://www.amazon.com/Testaments-Sequel-Handmaids-Tale/dp/0385543786?tag=NYTBSREV-20,,11/2/19,11/17/19,Hardcover Fiction,2019,46,13,10,8
40963,1250313074,NINTH HOUSE,"After mysteriously surviving a multiple homicide, Galaxy Stern comes face to face with dark magic, murder and more at Yale University.",Leigh Bardugo,by Leigh Bardugo,Flatiron,0,0,https://www.amazon.com/Ninth-House-Leigh-Bardugo/dp/1250313074?tag=NYTBSREV-20,https://www.nytimes.com/2019/10/08/books/review/ninth-house-leigh-bardugo.html,11/2/19,11/17/19,Hardcover Fiction,2019,46,14,14,4
